flight_id,route_id,origin_airport_code,destination_airport_code,distance_miles,region,route_category,departure_time,arrival_time,flight_day,aircraft_id,aircraft_type,aircraft_model,fuel_efficiency_gph,flight_status,delay_minutes,fixed_cost,ingestion_time
FL1013,RT5145,JFK,CDG,3625.0,International,Long-haul,2025-07-22 10:30:00,2025-07-22 17:45:00,2025-07-22,AC2035,wide-body,Airbus A350-900,1350.0,delayed,17,18359.32,
FL1020,RT5145,JFK,CDG,3625.0,International,Long-haul,2025-06-26 09:00:00,2025-06-26 16:15:00,2025-06-26,AC9717,wide-body,Airbus A350-1000,1450.0,on-time,0,17719.09,
FL1023,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-04-30 04:15:00,2025-04-30 06:45:00,2025-04-30,AC5545,narrow-body,Boeing 757-200,1000.0,on-time,0,7653.13,
FL1041,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-07-19 19:15:00,2025-07-19 21:45:00,2025-07-19,AC6692,narrow-body,Airbus A321XLR,890.0,on-time,0,8105.21,
FL1042,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-07-14 13:15:00,2025-07-14 15:45:00,2025-07-14,AC1586,narrow-body,Boeing 737-800,850.0,on-time,0,7828.7,
FL1049,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-05-06 09:45:00,2025-05-06 12:15:00,2025-05-06,AC5545,narrow-body,Boeing 757-200,1000.0,on-time,0,7297.75,
FL1051,RT3577,SEA,DEN,1024.0,Domestic,Medium-haul,2025-07-23 06:00:00,2025-07-23 08:02:00,2025-07-23,AC9038,narrow-body,Boeing 757-200,1000.0,on-time,0,7025.07,
FL1057,RT7144,SFO,SIN,8446.0,International,Long-haul,2025-05-28 16:45:00,2025-05-29 09:38:00,2025-05-28,AC2035,wide-body,Airbus A350-900,1350.0,on-time,0,32456.12,
FL1076,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-07-15 09:15:00,2025-07-15 11:45:00,2025-07-15,AC9038,narrow-body,Boeing 757-200,1000.0,on-time,0,7429.86,
FL1088,RT9374,SFO,SIN,8446.0,International,Long-haul,2025-06-27 14:30:00,2025-06-28 07:23:00,2025-06-27,AC4709,,,,on-time,0,32867.98,2025-07-08 16:28:42
FL1091,RT6565,SEA,DEN,1024.0,Domestic,Medium-haul,2025-07-01 13:00:00,2025-07-01 15:02:00,2025-07-01,AC2808,,,,on-time,0,7305.69,2025-07-08 16:28:42
FL1098,RT5358,SFO,ORD,1846.0,Domestic,Medium-haul,2025-07-03 10:30:00,2025-07-03 14:11:00,2025-07-03,AC9250,,,,on-time,0,9100.58,2025-07-08 16:28:42
FL1101,RT3577,SEA,DEN,1024.0,Domestic,Medium-haul,2025-06-25 19:45:00,2025-06-25 21:47:00,2025-06-25,AC9548,narrow-body,Boeing 757-200,1000.0,on-time,0,7219.03,
FL1108,RT6565,SEA,DEN,1024.0,Domestic,Medium-haul,2025-06-21 05:15:00,2025-06-21 07:17:00,2025-06-21,AC9250,,,,on-time,0,7407.5,2025-07-08 16:28:42
FL1111,RT7144,SFO,SIN,8446.0,International,Long-haul,2025-07-13 22:45:00,2025-07-14 15:38:00,2025-07-13,AC5517,wide-body,Airbus A350-900,1350.0,on-time,0,30417.7,
FL1116,RT6772,BOS,MIA,1258.0,Domestic,Medium-haul,2025-06-15 20:15:00,2025-06-15 22:45:00,2025-06-15,AC9548,narrow-body,Boeing 757-200,1000.0,delayed,28,7689.84,
FL1137,RT5145,JFK,CDG,3625.0,International,Long-haul,2025-05-02 08:30:00,2025-05-02 15:45:00,2025-05-02,AC7731,wide-body,Airbus A350-1000,1450.0,on-time,0,18701.02,
FL1152,RT4447,,,,,,2025-04-25 16:15:00,2025-04-25 21:12:00,2025-04-25,AC7421,,,,on-time,0,9829.74,
FL1160,RT5145,JFK,CDG,3625.0,International,Long-haul,2025-05-28 05:15:00,2025-05-28 12:30:00,2025-05-28,AC5517,wide-body,Airbus A350-900,1350.0,on-time,0,17722.02,
FL1164,RT6565,SEA,DEN,1024.0,Domestic,Medium-haul,2025-06-23 06:30:00,2025-06-23 08:32:00,2025-06-23,AC9894,,,,on-time,0,7392.76,2025-07-08 16:28:42
FL1165,RT3577,SEA,DEN,1024.0,Domestic,Medium-haul,2025-06-22 19:45:00,2025-06-22 21:47:00,2025-06-22,AC9038,narrow-body,Boeing 757-200,1000.0,delayed,10,7410.22,
FL1170,RT6628,SFO,ORD,1846.0,Domestic,Medium-haul,2025-07-17 18:30:00,2025-07-17 22:11:00,2025-07-17,AC9548,narrow-body,Boeing 757-200,1000.0,on-time,0,8435.74,
FL1171,RT5145,JFK,CDG,3625.0,International,Long-haul,2025-07-07 19:15:00,2025-07-08 02:30:00,2025-07-07,AC2035,wide-body,Airbus A350-900,1350.0,on-time,0,17751.46,
FL1183,RT7144,SFO,SIN,8446.0,International,Long-haul,2025-04-29 19:00:00,2025-04-30 11:53:00,2025-04-29,AC9717,wide-body,Airbus A350-1000,1450.0,delayed,60,32033.04,
FL1189,RT9374,SFO,SIN,8446.0,International,Long-haul,2025-07-02 18:00:00,2025-07-03 10:53:00,2025-07-02,AC4686,,,,on-time,0,29226.86,2025-07-08 16:28:42
